State,Action,Q-value
0,0,0.483709
0,1,0.224875
0,2,0.590490
0,3,0.493492
1,0,0.501116
1,1,0.000000
1,2,0.656100
1,3,0.512732
2,0,0.502256
2,1,0.729000
2,2,0.425700
2,3,0.619972
3,0,0.607061
3,1,0.000000
3,2,0.000000
3,3,0.029644
4,0,0.000000
4,1,0.000642
4,2,0.000000
4,3,0.416490
6,0,0.000000
6,1,0.810000
6,2,0.000000
6,3,0.612972
8,0,0.000000
8,1,0.000000
8,2,0.000000
8,3,0.024581
9,0,0.000000
9,1,0.073281
9,2,0.744458
9,3,0.000000
10,0,0.532309
10,1,0.900000
10,2,0.000000
10,3,0.530435
13,0,0.000000
13,1,0.123881
13,2,0.778423
14,0,0.489510
14,1,0.852833
14,2,1.000000
14,3,0.751687
