total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,300,0,30,-3836.52,426.28,6.0285,1.0,0.0,0.0,1,DQN
300,300,300,0,31,-3813.68,423.7422,5.9926,1.0,0.0,0.0,2,DQN
300,300,300,0,30,-3750.14,416.6822,5.8928,1.0,0.0,0.0,3,DQN
300,300,300,0,34,-3840.01,426.6678,6.034,1.0,0.0,0.0,4,DQN
300,300,300,0,33,-3699.53,411.0589,5.8133,1.0,0.0,0.0,5,DQN
300,300,300,0,28,-3864.49,429.3878,6.0725,1.0,0.0,0.0,6,DQN
300,300,300,0,33,-3816.81,424.09,5.9975,1.0,0.0,0.0,7,DQN
300,300,300,0,33,-3867.16,429.6844,6.0767,1.0,0.0,0.0,8,DQN
300,300,300,0,32,-3770.59,418.9544,5.9249,1.0,0.0,0.0,9,DQN
300,300,300,0,31,-3871.72,430.1911,6.0838,1.0,0.0,0.0,10,DQN
300,300,300,0,31,-3895.84,432.8711,6.1217,1.0,0.0,0.0,11,DQN
300,300,300,0,31,-3974.43,441.6033,6.2452,1.0,0.0,0.0,12,DQN
300,300,300,0,31,-3754.74,417.1933,5.9,1.0,0.0,0.0,13,DQN
300,300,300,0,29,-4026.15,447.35,6.3265,1.0,0.0,0.0,14,DQN
300,300,300,0,29,-3832.37,425.8189,6.022,1.0,0.0,0.0,15,DQN
300,300,300,0,29,-3803.45,422.6056,5.9765,1.0,0.0,0.0,16,DQN
300,300,300,0,31,-4005.5,445.0556,6.294,1.0,0.0,0.0,17,DQN
300,300,300,0,30,-3753.55,417.0611,5.8981,1.0,0.0,0.0,18,DQN
300,300,300,0,29,-3903.73,433.7478,6.1341,1.0,0.0,0.0,19,DQN
300,300,300,0,29,-3708.71,412.0789,5.8277,1.0,0.0,0.0,20,DQN
300,300,300,0,36,-3749.51,416.6122,5.8918,1.0,0.0,0.0,21,DQN
300,300,300,0,32,-3776.57,419.6189,5.9343,1.0,0.0,0.0,22,DQN
300,300,300,0,29,-3905.44,433.9378,6.1368,1.0,0.0,0.0,23,DQN
300,300,300,0,33,-3721.95,413.55,5.8485,1.0,0.0,0.0,24,DQN
300,300,300,0,31,-3752.05,416.8944,5.8958,1.0,0.0,0.0,25,DQN
300,300,300,0,31,-3922.44,435.8267,6.1635,1.0,0.0,0.0,26,DQN
300,300,300,0,31,-3703.69,411.5211,5.8198,1.0,0.0,0.0,27,DQN
300,300,300,0,32,-3824.68,424.9644,6.0099,1.0,0.0,0.0,28,DQN
300,300,300,0,29,-4032.22,448.0244,6.336,1.0,0.0,0.0,29,DQN
300,300,300,0,32,-3915.63,435.07,6.1528,1.0,0.0,0.0,30,DQN
300,300,300,0,31,-3832.53,425.8367,6.0222,1.0,0.0,0.0,31,DQN
300,300,300,0,29,-3969.34,441.0378,6.2372,1.0,0.0,0.0,32,DQN
300,300,300,0,31,-3920.7,435.6333,6.1608,1.0,0.0,0.0,33,DQN
300,300,300,0,31,-3861.25,429.0278,6.0674,1.0,0.0,0.0,34,DQN
300,300,300,0,31,-3972.27,441.3633,6.2418,1.0,0.0,0.0,35,DQN
300,300,300,0,29,-3833.38,425.9311,6.0236,1.0,0.0,0.0,36,DQN
300,300,300,0,29,-3955.26,439.4733,6.2151,1.0,0.0,0.0,37,DQN
300,300,300,0,31,-3855.66,428.4067,6.0586,1.0,0.0,0.0,38,DQN
300,300,300,0,30,-3892.12,432.4578,6.1159,1.0,0.0,0.0,39,DQN
300,300,300,0,31,-3852.86,428.0956,6.0542,1.0,0.0,0.0,40,DQN
300,300,300,0,30,-3765.44,418.3822,5.9168,1.0,0.0,0.0,41,DQN
300,300,300,0,32,-3842.17,426.9078,6.0374,1.0,0.0,0.0,42,DQN
300,300,300,0,32,-3866.84,429.6489,6.0762,1.0,0.0,0.0,43,DQN
300,300,300,0,29,-3861.2,429.0222,6.0673,1.0,0.0,0.0,44,DQN
300,300,300,0,32,-3766.78,418.5311,5.9189,1.0,0.0,0.0,45,DQN
300,300,300,0,32,-3697.12,410.7911,5.8095,1.0,0.0,0.0,46,DQN
300,300,300,0,29,-3916.78,435.1978,6.1546,1.0,0.0,0.0,47,DQN
300,300,300,0,31,-3783.06,420.34,5.9445,1.0,0.0,0.0,48,DQN
300,300,300,0,32,-3942.44,438.0489,6.1949,1.0,0.0,0.0,49,DQN
300,300,300,0,31,-3849.32,427.7022,6.0486,1.0,0.0,0.0,50,DQN
300,300,300,0,32,-3864.88,429.4311,6.0731,1.0,0.0,0.0,51,DQN
300,300,300,0,31,-3892.2,432.4667,6.116,1.0,0.0,0.0,52,DQN
300,300,300,0,30,-3921.84,435.76,6.1626,1.0,0.0,0.0,53,DQN
300,300,300,0,29,-3908.74,434.3044,6.142,1.0,0.0,0.0,54,DQN
300,300,300,0,32,-3749.93,416.6589,5.8924,1.0,0.0,0.0,55,DQN
300,300,300,0,33,-3847.63,427.5144,6.046,1.0,0.0,0.0,56,DQN
300,300,300,0,30,-3928.25,436.4722,6.1726,1.0,0.0,0.0,57,DQN
