total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,49,251,36,-277.82,30.8689,0.4366,1.0,0.0,0.0,1,DQN_v1_basic
300,300,52,248,38,-277.94,30.8822,0.4367,1.0,0.0,0.0,2,DQN_v1_basic
300,300,50,250,36,-279.72,31.08,0.4395,1.0,0.0,0.0,3,DQN_v1_basic
300,300,51,249,36,-276.58,30.7311,0.4346,1.0,0.0,0.0,4,DQN_v1_basic
300,300,53,247,39,-277.94,30.8822,0.4367,1.0,0.0,0.0,5,DQN_v1_basic
300,300,53,247,37,-278.72,30.9689,0.438,1.0,0.0,0.0,6,DQN_v1_basic
300,300,50,250,36,-279.64,31.0711,0.4394,1.0,0.0,0.0,7,DQN_v1_basic
300,300,52,248,37,-278.13,30.9033,0.437,1.0,0.0,0.0,8,DQN_v1_basic
300,300,51,249,36,-279.3,31.0333,0.4389,1.0,0.0,0.0,9,DQN_v1_basic
300,300,53,247,39,-278.57,30.9522,0.4377,1.0,0.0,0.0,10,DQN_v1_basic
300,300,51,249,37,-278.54,30.9489,0.4377,1.0,0.0,0.0,11,DQN_v1_basic
300,300,46,254,34,-279.13,31.0144,0.4386,1.0,0.0,0.0,12,DQN_v1_basic
300,300,52,248,38,-280.6,31.1778,0.4409,1.0,0.0,0.0,13,DQN_v1_basic
300,300,52,248,36,-277.79,30.8656,0.4365,1.0,0.0,0.0,14,DQN_v1_basic
300,300,48,252,34,-279.77,31.0856,0.4396,1.0,0.0,0.0,15,DQN_v1_basic
300,300,53,247,37,-280.14,31.1267,0.4402,1.0,0.0,0.0,16,DQN_v1_basic
300,300,47,253,33,-278.18,30.9089,0.4371,1.0,0.0,0.0,17,DQN_v1_basic
300,300,52,248,37,-280.34,31.1489,0.4405,1.0,0.0,0.0,18,DQN_v1_basic
300,300,49,251,34,-278.32,30.9244,0.4373,1.0,0.0,0.0,19,DQN_v1_basic
300,300,49,251,35,-279.15,31.0167,0.4386,1.0,0.0,0.0,20,DQN_v1_basic
300,300,55,245,40,-278.02,30.8911,0.4369,1.0,0.0,0.0,21,DQN_v1_basic
300,300,49,251,36,-278.43,30.9367,0.4375,1.0,0.0,0.0,22,DQN_v1_basic
300,300,51,249,37,-279.51,31.0567,0.4392,1.0,0.0,0.0,23,DQN_v1_basic
300,300,53,247,39,-277.9,30.8778,0.4367,1.0,0.0,0.0,24,DQN_v1_basic
300,300,50,250,34,-278.32,30.9244,0.4373,1.0,0.0,0.0,25,DQN_v1_basic
300,300,52,248,37,-277.94,30.8822,0.4367,1.0,0.0,0.0,26,DQN_v1_basic
300,300,50,250,36,-278.42,30.9356,0.4375,1.0,0.0,0.0,27,DQN_v1_basic
300,300,48,252,34,-277.78,30.8644,0.4365,1.0,0.0,0.0,28,DQN_v1_basic
300,300,45,255,33,-277.42,30.8244,0.4359,1.0,0.0,0.0,29,DQN_v1_basic
300,300,49,251,35,-279.39,31.0433,0.439,1.0,0.0,0.0,30,DQN_v1_basic
300,300,49,251,34,-279.21,31.0233,0.4387,1.0,0.0,0.0,31,DQN_v1_basic
300,300,50,250,36,-279.02,31.0022,0.4384,1.0,0.0,0.0,32,DQN_v1_basic
300,300,46,254,34,-278.2,30.9111,0.4371,1.0,0.0,0.0,33,DQN_v1_basic
300,300,51,249,37,-277.74,30.86,0.4364,1.0,0.0,0.0,34,DQN_v1_basic
300,300,49,251,35,-278.09,30.8989,0.437,1.0,0.0,0.0,35,DQN_v1_basic
300,300,51,249,36,-278.98,30.9978,0.4384,1.0,0.0,0.0,36,DQN_v1_basic
300,300,49,251,36,-279.79,31.0878,0.4396,1.0,0.0,0.0,37,DQN_v1_basic
300,300,54,246,39,-278.89,30.9878,0.4382,1.0,0.0,0.0,38,DQN_v1_basic
300,300,51,249,37,-278.04,30.8933,0.4369,1.0,0.0,0.0,39,DQN_v1_basic
300,300,50,250,36,-279.23,31.0256,0.4388,1.0,0.0,0.0,40,DQN_v1_basic
300,300,50,250,36,-279.58,31.0644,0.4393,1.0,0.0,0.0,41,DQN_v1_basic
300,300,48,252,35,-279.13,31.0144,0.4386,1.0,0.0,0.0,42,DQN_v1_basic
300,300,48,252,35,-278.28,30.92,0.4373,1.0,0.0,0.0,43,DQN_v1_basic
300,300,48,252,33,-278.02,30.8911,0.4369,1.0,0.0,0.0,44,DQN_v1_basic
300,300,50,250,37,-279.07,31.0078,0.4385,1.0,0.0,0.0,45,DQN_v1_basic
300,300,47,253,34,-279.57,31.0633,0.4393,1.0,0.0,0.0,46,DQN_v1_basic
300,300,52,248,36,-277.97,30.8856,0.4368,1.0,0.0,0.0,47,DQN_v1_basic
300,300,48,252,36,-280.63,31.1811,0.441,1.0,0.0,0.0,48,DQN_v1_basic
300,300,48,252,36,-278.23,30.9144,0.4372,1.0,0.0,0.0,49,DQN_v1_basic
300,300,50,250,36,-278.18,30.9089,0.4371,1.0,0.0,0.0,50,DQN_v1_basic
300,300,50,250,35,-278.41,30.9344,0.4375,1.0,0.0,0.0,51,DQN_v1_basic
300,300,48,252,35,-280.03,31.1144,0.44,1.0,0.0,0.0,52,DQN_v1_basic
300,300,49,251,36,-277.77,30.8633,0.4365,1.0,0.0,0.0,53,DQN_v1_basic
300,300,51,249,36,-279.41,31.0456,0.4391,1.0,0.0,0.0,54,DQN_v1_basic
300,300,49,251,35,-278.12,30.9022,0.437,1.0,0.0,0.0,55,DQN_v1_basic
300,300,51,249,37,-278.63,30.9589,0.4378,1.0,0.0,0.0,56,DQN_v1_basic
300,300,50,250,36,-277.33,30.8144,0.4358,1.0,0.0,0.0,57,DQN_v1_basic
300,300,49,251,36,-278.97,30.9967,0.4384,1.0,0.0,0.0,58,DQN_v1_basic
300,300,46,254,33,-278.22,30.9133,0.4372,1.0,0.0,0.0,59,DQN_v1_basic
300,300,48,252,36,-277.66,30.8511,0.4363,1.0,0.0,0.0,60,DQN_v1_basic
300,300,53,247,38,-279.19,31.0211,0.4387,1.0,0.0,0.0,61,DQN_v1_basic
300,300,50,250,37,-279.49,31.0544,0.4392,1.0,0.0,0.0,62,DQN_v1_basic
300,300,50,250,36,-278.95,30.9944,0.4383,1.0,0.0,0.0,63,DQN_v1_basic
300,300,51,249,37,-278.96,30.9956,0.4383,1.0,0.0,0.0,64,DQN_v1_basic
300,300,49,251,36,-278.69,30.9656,0.4379,1.0,0.0,0.0,65,DQN_v1_basic
300,300,50,250,38,-277.36,30.8178,0.4358,1.0,0.0,0.0,66,DQN_v1_basic
300,300,51,249,37,-279.67,31.0744,0.4395,1.0,0.0,0.0,67,DQN_v1_basic
300,300,54,246,39,-278.15,30.9056,0.4371,1.0,0.0,0.0,68,DQN_v1_basic
300,300,52,248,37,-277.44,30.8267,0.436,1.0,0.0,0.0,69,DQN_v1_basic
300,300,49,251,36,-279.42,31.0467,0.4391,1.0,0.0,0.0,70,DQN_v1_basic
300,300,52,248,37,-280.09,31.1211,0.4401,1.0,0.0,0.0,71,DQN_v1_basic
300,300,51,249,37,-276.73,30.7478,0.4348,1.0,0.0,0.0,72,DQN_v1_basic
300,300,50,250,37,-276.99,30.7767,0.4352,1.0,0.0,0.0,73,DQN_v1_basic
300,300,47,253,34,-279.36,31.04,0.439,1.0,0.0,0.0,74,DQN_v1_basic
300,300,50,250,35,-280.52,31.1689,0.4408,1.0,0.0,0.0,75,DQN_v1_basic
300,300,52,248,38,-278.82,30.98,0.4381,1.0,0.0,0.0,76,DQN_v1_basic
300,300,52,248,38,-277.83,30.87,0.4366,1.0,0.0,0.0,77,DQN_v1_basic
300,300,53,247,37,-280.51,31.1678,0.4408,1.0,0.0,0.0,78,DQN_v1_basic
300,300,47,253,33,-278.28,30.92,0.4373,1.0,0.0,0.0,79,DQN_v1_basic
300,300,48,252,35,-278.16,30.9067,0.4371,1.0,0.0,0.0,80,DQN_v1_basic
300,300,52,248,39,-278.6,30.9556,0.4378,1.0,0.0,0.0,81,DQN_v1_basic
300,300,52,248,38,-277.87,30.8744,0.4366,1.0,0.0,0.0,82,DQN_v1_basic
300,300,49,251,35,-278.99,30.9989,0.4384,1.0,0.0,0.0,83,DQN_v1_basic
300,300,52,248,36,-277.64,30.8489,0.4363,1.0,0.0,0.0,84,DQN_v1_basic
300,300,53,247,39,-279.6,31.0667,0.4393,1.0,0.0,0.0,85,DQN_v1_basic
300,300,48,252,33,-277.68,30.8533,0.4363,1.0,0.0,0.0,86,DQN_v1_basic
300,300,52,248,38,-278.65,30.9611,0.4379,1.0,0.0,0.0,87,DQN_v1_basic
300,300,52,248,38,-278.74,30.9711,0.438,1.0,0.0,0.0,88,DQN_v1_basic
300,300,52,248,37,-279.83,31.0922,0.4397,1.0,0.0,0.0,89,DQN_v1_basic
300,300,49,251,35,-278.37,30.93,0.4374,1.0,0.0,0.0,90,DQN_v1_basic
300,300,48,252,35,-275.94,30.66,0.4336,1.0,0.0,0.0,91,DQN_v1_basic
300,300,52,248,37,-276.72,30.7467,0.4348,1.0,0.0,0.0,92,DQN_v1_basic
300,300,55,245,37,-279.31,31.0344,0.4389,1.0,0.0,0.0,93,DQN_v1_basic
300,300,52,248,37,-277.26,30.8067,0.4357,1.0,0.0,0.0,94,DQN_v1_basic
300,300,49,251,34,-278.34,30.9267,0.4374,1.0,0.0,0.0,95,DQN_v1_basic
300,300,50,250,39,-276.43,30.7144,0.4344,1.0,0.0,0.0,96,DQN_v1_basic
300,300,53,247,41,-278.86,30.9844,0.4382,1.0,0.0,0.0,97,DQN_v1_basic
300,300,52,248,37,-277.94,30.8822,0.4367,1.0,0.0,0.0,98,DQN_v1_basic
300,300,51,249,35,-278.08,30.8978,0.437,1.0,0.0,0.0,99,DQN_v1_basic
300,300,52,248,38,-279.84,31.0933,0.4397,1.0,0.0,0.0,100,DQN_v1_basic
