total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,128,172,92,-143.7929,86.5533,0.0375,0.1467,0.2767,0.5767,1,DQN_v2
300,300,135,165,97,-139.6014,86.09,0.0339,0.1533,0.1967,0.65,2,DQN_v2
300,300,131,169,99,-142.4321,86.8011,0.0363,0.16,0.2333,0.6067,3,DQN_v2
300,300,132,168,96,-140.7893,85.3267,0.0351,0.1567,0.2167,0.6267,4,DQN_v2
300,300,131,169,99,-141.9367,85.3967,0.0374,0.15,0.1833,0.6667,5,DQN_v2
300,300,133,167,93,-141.5809,87.0833,0.036,0.1567,0.21,0.6333,6,DQN_v2
300,300,128,172,93,-143.0431,86.7078,0.0327,0.1467,0.2167,0.6367,7,DQN_v2
300,300,131,169,95,-141.4223,85.5589,0.0356,0.1667,0.21,0.6233,8,DQN_v2
300,300,137,163,98,-138.4369,86.2256,0.0333,0.1533,0.2733,0.5733,9,DQN_v2
300,300,130,170,95,-142.6448,85.6211,0.0383,0.16,0.1933,0.6467,10,DQN_v2
300,300,128,172,92,-142.938,86.0156,0.0354,0.15,0.22,0.63,11,DQN_v2
300,300,123,177,89,-145.8799,85.6933,0.0381,0.15,0.21,0.64,12,DQN_v2
300,300,135,165,100,-139.5884,86.4622,0.0342,0.1533,0.2733,0.5733,13,DQN_v2
300,300,128,172,91,-144.2822,86.1167,0.0399,0.1567,0.2367,0.6067,14,DQN_v2
300,300,129,171,92,-142.7051,86.96,0.0342,0.1533,0.2467,0.6,15,DQN_v2
300,300,131,169,96,-141.9584,86.5344,0.0341,0.15,0.22,0.63,16,DQN_v2
300,300,123,177,88,-145.5066,86.1233,0.0333,0.1467,0.21,0.6433,17,DQN_v2
300,300,137,163,100,-138.8576,87.4322,0.0333,0.16,0.27,0.57,18,DQN_v2
300,300,123,177,89,-146.0691,87.2956,0.0334,0.15,0.1867,0.6633,19,DQN_v2
300,300,134,166,100,-139.7987,87.0789,0.032,0.1567,0.2767,0.5667,20,DQN_v2
300,300,137,163,102,-137.8972,84.7833,0.0369,0.17,0.2567,0.5733,21,DQN_v2
300,300,130,170,96,-142.5847,86.0811,0.0353,0.1567,0.1633,0.68,22,DQN_v2
300,300,130,170,94,-142.0579,86.6733,0.0335,0.1567,0.2133,0.63,23,DQN_v2
300,300,132,168,98,-141.492,86.28,0.0359,0.15,0.2333,0.6167,24,DQN_v2
300,300,130,170,93,-142.3847,86.2444,0.0357,0.1533,0.2133,0.6333,25,DQN_v2
300,300,127,173,92,-144.7714,85.4033,0.0417,0.15,0.1933,0.6567,26,DQN_v2
300,300,132,168,94,-141.2856,85.7022,0.0359,0.15,0.2067,0.6433,27,DQN_v2
300,300,132,168,96,-141.8505,86.3378,0.0369,0.15,0.2333,0.6167,28,DQN_v2
300,300,123,177,90,-145.7329,85.7256,0.0365,0.15,0.2233,0.6267,29,DQN_v2
300,300,129,171,96,-143.1815,86.1767,0.0372,0.16,0.2167,0.6233,30,DQN_v2
300,300,131,169,94,-141.3934,86.25,0.0333,0.15,0.2467,0.6033,31,DQN_v2
300,300,126,174,92,-143.9445,86.2511,0.0342,0.1567,0.2067,0.6367,32,DQN_v2
300,300,125,175,93,-144.4995,85.8811,0.0344,0.1467,0.22,0.6333,33,DQN_v2
300,300,131,169,96,-141.3212,86.1322,0.0337,0.1533,0.2167,0.63,34,DQN_v2
300,300,126,174,91,-144.5147,86.3467,0.0361,0.1533,0.21,0.6367,35,DQN_v2
300,300,133,167,94,-141.2329,86.7578,0.0356,0.1533,0.2667,0.58,36,DQN_v2
300,300,126,174,92,-144.5382,86.3744,0.0359,0.1567,0.21,0.6333,37,DQN_v2
300,300,134,166,97,-139.8229,86.5133,0.0332,0.1533,0.2533,0.5933,38,DQN_v2
300,300,129,171,94,-142.5449,85.8789,0.0358,0.1533,0.2167,0.63,39,DQN_v2
300,300,129,171,98,-142.4467,86.1078,0.0347,0.1533,0.2467,0.6,40,DQN_v2
300,300,134,166,97,-140.3324,87.1022,0.032,0.1533,0.2167,0.63,41,DQN_v2
300,300,127,173,93,-143.5079,86.5011,0.0336,0.1533,0.2167,0.63,42,DQN_v2
300,300,127,173,95,-144.852,85.4256,0.0411,0.1567,0.18,0.6633,43,DQN_v2
300,300,124,176,91,-145.8266,86.5044,0.0373,0.1467,0.2267,0.6267,44,DQN_v2
300,300,132,168,97,-140.584,86.4656,0.0322,0.1533,0.2233,0.6233,45,DQN_v2
300,300,129,171,95,-143.1431,85.9878,0.0368,0.15,0.1967,0.6533,46,DQN_v2
300,300,125,175,89,-144.6153,86.4044,0.0343,0.1533,0.24,0.6067,47,DQN_v2
