total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,300,0,30,-2483.9717,426.28,6.0285,0.0,0.0,1.0,1,DQN_v2
300,300,300,0,31,-2469.8983,423.7422,5.9926,0.0,0.0,1.0,2,DQN_v2
300,300,300,0,30,-2430.7464,416.6822,5.8928,0.0,0.0,1.0,3,DQN_v2
300,300,300,0,34,-2486.1222,426.6678,6.034,0.0,0.0,1.0,4,DQN_v2
300,300,300,0,33,-2399.5618,411.0589,5.8133,0.0,0.0,1.0,5,DQN_v2
300,300,300,0,28,-2501.2062,429.3878,6.0725,0.0,0.0,1.0,6,DQN_v2
300,300,300,0,33,-2471.8269,424.09,5.9975,0.0,0.0,1.0,7,DQN_v2
300,300,300,0,33,-2502.8513,429.6844,6.0767,0.0,0.0,1.0,8,DQN_v2
300,300,300,0,32,-2443.3472,418.9544,5.9249,0.0,0.0,1.0,9,DQN_v2
300,300,300,0,31,-2505.6611,430.1911,6.0838,0.0,0.0,1.0,10,DQN_v2
300,300,300,0,31,-2520.5233,432.8711,6.1217,0.0,0.0,1.0,11,DQN_v2
300,300,300,0,31,-2568.9486,441.6033,6.2452,0.0,0.0,1.0,12,DQN_v2
300,300,300,0,31,-2433.5808,417.1933,5.9,0.0,0.0,1.0,13,DQN_v2
300,300,300,0,29,-2600.8172,447.35,6.3265,0.0,0.0,1.0,14,DQN_v2
300,300,300,0,29,-2481.4146,425.8189,6.022,0.0,0.0,1.0,15,DQN_v2
300,300,300,0,29,-2463.5948,422.6056,5.9765,0.0,0.0,1.0,16,DQN_v2
300,300,300,0,31,-2588.0931,445.0556,6.294,0.0,0.0,1.0,17,DQN_v2
300,300,300,0,30,-2432.8476,417.0611,5.8981,0.0,0.0,1.0,18,DQN_v2
300,300,300,0,29,-2525.3849,433.7478,6.1341,0.0,0.0,1.0,19,DQN_v2
300,300,300,0,29,-2405.2183,412.0789,5.8277,0.0,0.0,1.0,20,DQN_v2
300,300,300,0,36,-2430.3582,416.6122,5.8918,0.0,0.0,1.0,21,DQN_v2
300,300,300,0,32,-2447.032,419.6189,5.9343,0.0,0.0,1.0,22,DQN_v2
300,300,300,0,29,-2526.4386,433.9378,6.1368,0.0,0.0,1.0,23,DQN_v2
300,300,300,0,33,-2413.3764,413.55,5.8485,0.0,0.0,1.0,24,DQN_v2
300,300,300,0,31,-2431.9233,416.8944,5.8958,0.0,0.0,1.0,25,DQN_v2
300,300,300,0,31,-2536.9136,435.8267,6.1635,0.0,0.0,1.0,26,DQN_v2
300,300,300,0,31,-2402.125,411.5211,5.8198,0.0,0.0,1.0,27,DQN_v2
300,300,300,0,32,-2476.6762,424.9644,6.0099,0.0,0.0,1.0,28,DQN_v2
300,300,300,0,29,-2604.5574,448.0244,6.336,0.0,0.0,1.0,29,DQN_v2
300,300,300,0,32,-2532.7174,435.07,6.1528,0.0,0.0,1.0,30,DQN_v2
300,300,300,0,31,-2481.5132,425.8367,6.0222,0.0,0.0,1.0,31,DQN_v2
300,300,300,0,29,-2565.8122,441.0378,6.2372,0.0,0.0,1.0,32,DQN_v2
300,300,300,0,31,-2535.8414,435.6333,6.1608,0.0,0.0,1.0,33,DQN_v2
300,300,300,0,31,-2499.2097,429.0278,6.0674,0.0,0.0,1.0,34,DQN_v2
300,300,300,0,31,-2567.6176,441.3633,6.2418,0.0,0.0,1.0,35,DQN_v2
300,300,300,0,29,-2482.0369,425.9311,6.0236,0.0,0.0,1.0,36,DQN_v2
300,300,300,0,29,-2557.1365,439.4733,6.2151,0.0,0.0,1.0,37,DQN_v2
300,300,300,0,31,-2495.7653,428.4067,6.0586,0.0,0.0,1.0,38,DQN_v2
300,300,300,0,30,-2518.2311,432.4578,6.1159,0.0,0.0,1.0,39,DQN_v2
300,300,300,0,31,-2494.04,428.0956,6.0542,0.0,0.0,1.0,40,DQN_v2
300,300,300,0,30,-2440.1739,418.3822,5.9168,0.0,0.0,1.0,41,DQN_v2
300,300,300,0,32,-2487.4531,426.9078,6.0374,0.0,0.0,1.0,42,DQN_v2
300,300,300,0,32,-2502.6542,429.6489,6.0762,0.0,0.0,1.0,43,DQN_v2
300,300,300,0,29,-2499.1789,429.0222,6.0673,0.0,0.0,1.0,44,DQN_v2
300,300,300,0,32,-2440.9996,418.5311,5.9189,0.0,0.0,1.0,45,DQN_v2
300,300,300,0,32,-2398.0768,410.7911,5.8095,0.0,0.0,1.0,46,DQN_v2
300,300,300,0,29,-2533.426,435.1978,6.1546,0.0,0.0,1.0,47,DQN_v2
300,300,300,0,31,-2451.0309,420.34,5.9445,0.0,0.0,1.0,48,DQN_v2
300,300,300,0,32,-2549.2371,438.0489,6.1949,0.0,0.0,1.0,49,DQN_v2
300,300,300,0,31,-2491.8588,427.7022,6.0486,0.0,0.0,1.0,50,DQN_v2
300,300,300,0,32,-2501.4465,429.4311,6.0731,0.0,0.0,1.0,51,DQN_v2
300,300,300,0,31,-2518.2804,432.4667,6.116,0.0,0.0,1.0,52,DQN_v2
300,300,300,0,30,-2536.5439,435.76,6.1626,0.0,0.0,1.0,53,DQN_v2
300,300,300,0,29,-2528.4719,434.3044,6.142,0.0,0.0,1.0,54,DQN_v2
300,300,300,0,32,-2430.617,416.6589,5.8924,0.0,0.0,1.0,55,DQN_v2
300,300,300,0,33,-2490.8174,427.5144,6.046,0.0,0.0,1.0,56,DQN_v2
300,300,300,0,30,-2540.4935,436.4722,6.1726,0.0,0.0,1.0,57,DQN_v2
300,300,300,0,32,-2476.516,424.9356,6.0095,0.0,0.0,1.0,58,DQN_v2
300,300,300,0,30,-2532.8283,435.09,6.1531,0.0,0.0,1.0,59,DQN_v2
300,300,300,0,31,-2478.3091,425.2589,6.0141,0.0,0.0,1.0,60,DQN_v2
300,300,300,0,32,-2421.3374,414.9856,5.8688,0.0,0.0,1.0,61,DQN_v2
300,300,300,0,32,-2469.3807,423.6489,5.9913,0.0,0.0,1.0,62,DQN_v2
300,300,300,0,32,-2477.1322,425.0467,6.0111,0.0,0.0,1.0,63,DQN_v2
300,300,300,0,33,-2472.1966,424.1567,5.9985,0.0,0.0,1.0,64,DQN_v2
300,300,300,0,32,-2492.2839,427.7789,6.0497,0.0,0.0,1.0,65,DQN_v2
300,300,300,0,31,-2495.8947,428.43,6.0589,0.0,0.0,1.0,66,DQN_v2
300,300,300,0,29,-2413.7893,413.6244,5.8495,0.0,0.0,1.0,67,DQN_v2
300,300,300,0,31,-2425.2501,415.6911,5.8788,0.0,0.0,1.0,68,DQN_v2
300,300,300,0,31,-2541.6828,436.6867,6.1757,0.0,0.0,1.0,69,DQN_v2
300,300,300,0,30,-2531.8856,434.92,6.1507,0.0,0.0,1.0,70,DQN_v2
300,300,300,0,37,-2353.7922,402.8056,5.6965,0.0,0.0,1.0,71,DQN_v2
