total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,300,0,93,-2942.51,326.9456,0.0672,0.3333,0.3333,0.3333,1,RoundRobin
300,300,300,0,95,-2919.67,324.4078,0.0873,0.3333,0.3333,0.3333,2,RoundRobin
300,300,300,0,98,-2856.13,317.3478,0.231,0.3333,0.3333,0.3333,3,RoundRobin
300,300,300,0,93,-2946.0,327.3333,0.1169,0.3333,0.3333,0.3333,4,RoundRobin
300,300,300,0,100,-2805.52,311.7244,0.149,0.3333,0.3333,0.3333,5,RoundRobin
300,300,300,0,92,-2970.48,330.0533,0.1386,0.3333,0.3333,0.3333,6,RoundRobin
300,300,300,0,96,-2922.8,324.7556,0.144,0.3333,0.3333,0.3333,7,RoundRobin
300,300,300,0,95,-2973.15,330.35,0.1352,0.3333,0.3333,0.3333,8,RoundRobin
300,300,300,0,93,-2876.58,319.62,0.0956,0.3333,0.3333,0.3333,9,RoundRobin
300,300,300,0,93,-2977.71,330.8567,0.0726,0.3333,0.3333,0.3333,10,RoundRobin
300,300,300,0,92,-3001.83,333.5367,0.065,0.3333,0.3333,0.3333,11,RoundRobin
300,300,300,0,89,-3080.42,342.2689,0.1594,0.3333,0.3333,0.3333,12,RoundRobin
300,300,300,0,98,-2860.73,317.8589,0.1349,0.3333,0.3333,0.3333,13,RoundRobin
300,300,300,0,91,-3132.14,348.0156,0.0757,0.3333,0.3333,0.3333,14,RoundRobin
300,300,300,0,96,-2938.36,326.4844,0.1823,0.3333,0.3333,0.3333,15,RoundRobin
300,300,300,0,95,-2909.44,323.2711,0.0845,0.3333,0.3333,0.3333,16,RoundRobin
300,300,300,0,91,-3111.49,345.7211,0.0802,0.3333,0.3333,0.3333,17,RoundRobin
300,300,300,0,96,-2859.54,317.7267,0.205,0.3333,0.3333,0.3333,18,RoundRobin
300,300,300,0,90,-3009.72,334.4133,0.1105,0.3333,0.3333,0.3333,19,RoundRobin
300,300,300,0,94,-2814.7,312.7444,0.2035,0.3333,0.3333,0.3333,20,RoundRobin
300,300,300,0,100,-2855.5,317.2778,0.1312,0.3333,0.3333,0.3333,21,RoundRobin
300,300,300,0,94,-2882.56,320.2844,0.1381,0.3333,0.3333,0.3333,22,RoundRobin
300,300,300,0,89,-3011.43,334.6033,0.1718,0.3333,0.3333,0.3333,23,RoundRobin
300,300,300,0,94,-2827.94,314.2156,0.1017,0.3333,0.3333,0.3333,24,RoundRobin
300,300,300,0,96,-2858.04,317.56,0.1047,0.3333,0.3333,0.3333,25,RoundRobin
300,300,300,0,93,-3028.43,336.4922,0.1185,0.3333,0.3333,0.3333,26,RoundRobin
300,300,300,0,98,-2809.68,312.1867,0.0588,0.3333,0.3333,0.3333,27,RoundRobin
300,300,300,0,92,-2930.67,325.63,0.092,0.3333,0.3333,0.3333,28,RoundRobin
300,300,300,0,88,-3138.21,348.69,0.105,0.3333,0.3333,0.3333,29,RoundRobin
300,300,300,0,90,-3021.62,335.7356,0.2193,0.3333,0.3333,0.3333,30,RoundRobin
300,300,300,0,94,-2938.52,326.5022,0.1524,0.3333,0.3333,0.3333,31,RoundRobin
300,300,300,0,88,-3075.33,341.7033,0.1299,0.3333,0.3333,0.3333,32,RoundRobin
300,300,300,0,93,-3026.69,336.2989,0.1575,0.3333,0.3333,0.3333,33,RoundRobin
