total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,120,180,87,-789.42,87.7133,0.0318,0.3333,0.3333,0.3333,1,RoundRobin_v1
300,300,129,171,93,-778.81,86.5344,0.0341,0.3333,0.3333,0.3333,2,RoundRobin_v1
300,300,123,177,90,-787.76,87.5289,0.0298,0.3333,0.3333,0.3333,3,RoundRobin_v1
300,300,125,175,90,-773.49,85.9433,0.0358,0.3333,0.3333,0.3333,4,RoundRobin_v1
300,300,124,176,91,-781.39,86.8211,0.0309,0.3333,0.3333,0.3333,5,RoundRobin_v1
300,300,121,179,85,-795.19,88.3544,0.0303,0.3333,0.3333,0.3333,6,RoundRobin_v1
300,300,120,180,88,-786.4,87.3778,0.0316,0.3333,0.3333,0.3333,7,RoundRobin_v1
300,300,123,177,90,-777.81,86.4233,0.041,0.3333,0.3333,0.3333,8,RoundRobin_v1
300,300,129,171,91,-786.36,87.3733,0.0313,0.3333,0.3333,0.3333,9,RoundRobin_v1
300,300,125,175,93,-783.12,87.0133,0.0319,0.3333,0.3333,0.3333,10,RoundRobin_v1
300,300,122,178,89,-787.45,87.4944,0.0309,0.3333,0.3333,0.3333,11,RoundRobin_v1
300,300,118,182,87,-787.12,87.4578,0.0322,0.3333,0.3333,0.3333,12,RoundRobin_v1
300,300,129,171,93,-789.93,87.77,0.035,0.3333,0.3333,0.3333,13,RoundRobin_v1
300,300,122,178,86,-781.99,86.8878,0.0358,0.3333,0.3333,0.3333,14,RoundRobin_v1
300,300,122,178,89,-789.54,87.7267,0.0339,0.3333,0.3333,0.3333,15,RoundRobin_v1
300,300,123,177,89,-792.17,88.0189,0.034,0.3333,0.3333,0.3333,16,RoundRobin_v1
300,300,117,183,83,-783.86,87.0956,0.0349,0.3333,0.3333,0.3333,17,RoundRobin_v1
300,300,128,172,94,-789.24,87.6933,0.0335,0.3333,0.3333,0.3333,18,RoundRobin_v1
300,300,120,180,87,-793.22,88.1356,0.0348,0.3333,0.3333,0.3333,19,RoundRobin_v1
300,300,131,169,95,-789.06,87.6733,0.0305,0.3333,0.3333,0.3333,20,RoundRobin_v1
300,300,126,174,93,-771.59,85.7322,0.0356,0.3333,0.3333,0.3333,21,RoundRobin_v1
300,300,125,175,93,-788.04,87.56,0.0293,0.3333,0.3333,0.3333,22,RoundRobin_v1
300,300,125,175,89,-792.48,88.0533,0.035,0.3333,0.3333,0.3333,23,RoundRobin_v1
300,300,127,173,93,-785.38,87.2644,0.0356,0.3333,0.3333,0.3333,24,RoundRobin_v1
300,300,124,176,88,-781.27,86.8078,0.0342,0.3333,0.3333,0.3333,25,RoundRobin_v1
300,300,121,179,87,-779.44,86.6044,0.0311,0.3333,0.3333,0.3333,26,RoundRobin_v1
300,300,124,176,89,-787.96,87.5511,0.0315,0.3333,0.3333,0.3333,27,RoundRobin_v1
300,300,119,181,89,-781.91,86.8789,0.0344,0.3333,0.3333,0.3333,28,RoundRobin_v1
300,300,118,182,87,-785.99,87.3322,0.0333,0.3333,0.3333,0.3333,29,RoundRobin_v1
300,300,122,178,91,-781.76,86.8622,0.0375,0.3333,0.3333,0.3333,30,RoundRobin_v1
300,300,126,174,88,-787.82,87.5356,0.0316,0.3333,0.3333,0.3333,31,RoundRobin_v1
300,300,120,180,87,-788.19,87.5767,0.0327,0.3333,0.3333,0.3333,32,RoundRobin_v1
300,300,117,183,84,-786.39,87.3767,0.0318,0.3333,0.3333,0.3333,33,RoundRobin_v1
300,300,125,175,92,-782.24,86.9156,0.0368,0.3333,0.3333,0.3333,34,RoundRobin_v1
300,300,122,178,89,-784.44,87.16,0.033,0.3333,0.3333,0.3333,35,RoundRobin_v1
300,300,125,175,89,-791.66,87.9622,0.0298,0.3333,0.3333,0.3333,36,RoundRobin_v1
300,300,118,182,86,-789.29,87.6989,0.0358,0.3333,0.3333,0.3333,37,RoundRobin_v1
300,300,125,175,88,-786.08,87.3422,0.0351,0.3333,0.3333,0.3333,38,RoundRobin_v1
300,300,124,176,91,-783.59,87.0656,0.0351,0.3333,0.3333,0.3333,39,RoundRobin_v1
300,300,121,179,90,-782.0,86.8889,0.0338,0.3333,0.3333,0.3333,40,RoundRobin_v1
300,300,127,173,93,-789.74,87.7489,0.036,0.3333,0.3333,0.3333,41,RoundRobin_v1
300,300,120,180,90,-783.09,87.01,0.033,0.3333,0.3333,0.3333,42,RoundRobin_v1
300,300,121,179,90,-782.66,86.9622,0.0374,0.3333,0.3333,0.3333,43,RoundRobin_v1
300,300,119,181,90,-787.01,87.4456,0.0347,0.3333,0.3333,0.3333,44,RoundRobin_v1
300,300,128,172,93,-786.02,87.3356,0.0342,0.3333,0.3333,0.3333,45,RoundRobin_v1
300,300,123,177,91,-784.65,87.1833,0.0322,0.3333,0.3333,0.3333,46,RoundRobin_v1
300,300,120,180,86,-790.09,87.7878,0.0334,0.3333,0.3333,0.3333,47,RoundRobin_v1
300,300,120,180,87,-790.72,87.8578,0.0332,0.3333,0.3333,0.3333,48,RoundRobin_v1
300,300,126,174,92,-776.97,86.33,0.0354,0.3333,0.3333,0.3333,49,RoundRobin_v1
300,300,123,177,88,-784.29,87.1433,0.0292,0.3333,0.3333,0.3333,50,RoundRobin_v1
300,300,124,176,90,-787.08,87.4533,0.0341,0.3333,0.3333,0.3333,51,RoundRobin_v1
