total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,120,180,87,-146.7683,87.7133,0.0318,0.3333,0.3333,0.3333,1,RoundRobin_v2
300,300,129,171,93,-142.002,86.5344,0.0341,0.3333,0.3333,0.3333,2,RoundRobin_v2
300,300,123,177,90,-144.8418,87.5289,0.0298,0.3333,0.3333,0.3333,3,RoundRobin_v2
300,300,125,175,90,-143.9547,85.9433,0.0358,0.3333,0.3333,0.3333,4,RoundRobin_v2
300,300,124,176,91,-144.0865,86.8211,0.0309,0.3333,0.3333,0.3333,5,RoundRobin_v2
300,300,121,179,85,-146.4091,88.3544,0.0303,0.3333,0.3333,0.3333,6,RoundRobin_v2
300,300,120,180,88,-146.5607,87.3778,0.0316,0.3333,0.3333,0.3333,7,RoundRobin_v2
300,300,123,177,90,-146.1573,86.4233,0.041,0.3333,0.3333,0.3333,8,RoundRobin_v2
300,300,129,171,91,-141.9794,87.3733,0.0313,0.3333,0.3333,0.3333,9,RoundRobin_v2
300,300,125,175,93,-143.8915,87.0133,0.0319,0.3333,0.3333,0.3333,10,RoundRobin_v2
300,300,122,178,89,-145.4972,87.4944,0.0309,0.3333,0.3333,0.3333,11,RoundRobin_v2
300,300,118,182,87,-147.7123,87.4578,0.0322,0.3333,0.3333,0.3333,12,RoundRobin_v2
300,300,129,171,93,-142.9199,87.77,0.035,0.3333,0.3333,0.3333,13,RoundRobin_v2
300,300,122,178,86,-146.0139,86.8878,0.0358,0.3333,0.3333,0.3333,14,RoundRobin_v2
300,300,122,178,89,-146.1927,87.7267,0.0339,0.3333,0.3333,0.3333,15,RoundRobin_v2
300,300,123,177,89,-145.8728,88.0189,0.034,0.3333,0.3333,0.3333,16,RoundRobin_v2
300,300,117,183,83,-148.4798,87.0956,0.0349,0.3333,0.3333,0.3333,17,RoundRobin_v2
300,300,128,172,94,-143.1003,87.6933,0.0335,0.3333,0.3333,0.3333,18,RoundRobin_v2
300,300,120,180,87,-147.5875,88.1356,0.0348,0.3333,0.3333,0.3333,19,RoundRobin_v2
300,300,131,169,95,-141.0557,87.6733,0.0305,0.3333,0.3333,0.3333,20,RoundRobin_v2
300,300,126,174,93,-143.2906,85.7322,0.0356,0.3333,0.3333,0.3333,21,RoundRobin_v2
300,300,125,175,93,-143.7668,87.56,0.0293,0.3333,0.3333,0.3333,22,RoundRobin_v2
300,300,125,175,89,-145.0519,88.0533,0.035,0.3333,0.3333,0.3333,23,RoundRobin_v2
300,300,127,173,93,-143.7191,87.2644,0.0356,0.3333,0.3333,0.3333,24,RoundRobin_v2
300,300,124,176,88,-144.6992,86.8078,0.0342,0.3333,0.3333,0.3333,25,RoundRobin_v2
300,300,121,179,87,-145.4914,86.6044,0.0311,0.3333,0.3333,0.3333,26,RoundRobin_v2
300,300,124,176,89,-144.6384,87.5511,0.0315,0.3333,0.3333,0.3333,27,RoundRobin_v2
300,300,119,181,89,-147.2654,86.8789,0.0344,0.3333,0.3333,0.3333,28,RoundRobin_v2
300,300,118,182,87,-147.8574,87.3322,0.0333,0.3333,0.3333,0.3333,29,RoundRobin_v2
300,300,122,178,91,-146.3093,86.8622,0.0375,0.3333,0.3333,0.3333,30,RoundRobin_v2
300,300,126,174,88,-143.6377,87.5356,0.0316,0.3333,0.3333,0.3333,31,RoundRobin_v2
300,300,120,180,87,-146.8855,87.5767,0.0327,0.3333,0.3333,0.3333,32,RoundRobin_v2
300,300,117,183,84,-148.0764,87.3767,0.0318,0.3333,0.3333,0.3333,33,RoundRobin_v2
300,300,125,175,92,-144.7415,86.9156,0.0368,0.3333,0.3333,0.3333,34,RoundRobin_v2
300,300,122,178,89,-145.6807,87.16,0.033,0.3333,0.3333,0.3333,35,RoundRobin_v2
300,300,125,175,89,-144.0823,87.9622,0.0298,0.3333,0.3333,0.3333,36,RoundRobin_v2
300,300,118,182,86,-148.5016,87.6989,0.0358,0.3333,0.3333,0.3333,37,RoundRobin_v2
300,300,125,175,88,-144.6495,87.3422,0.0351,0.3333,0.3333,0.3333,38,RoundRobin_v2
300,300,124,176,91,-145.0066,87.0656,0.0351,0.3333,0.3333,0.3333,39,RoundRobin_v2
300,300,121,179,90,-146.1693,86.8889,0.0338,0.3333,0.3333,0.3333,40,RoundRobin_v2
300,300,127,173,93,-144.0668,87.7489,0.036,0.3333,0.3333,0.3333,41,RoundRobin_v2
300,300,120,180,90,-146.6095,87.01,0.033,0.3333,0.3333,0.3333,42,RoundRobin_v2
300,300,121,179,90,-146.869,86.9622,0.0374,0.3333,0.3333,0.3333,43,RoundRobin_v2
300,300,119,181,90,-147.6757,87.4456,0.0347,0.3333,0.3333,0.3333,44,RoundRobin_v2
300,300,128,172,93,-142.9886,87.3356,0.0342,0.3333,0.3333,0.3333,45,RoundRobin_v2
300,300,123,177,91,-145.048,87.1833,0.0322,0.3333,0.3333,0.3333,46,RoundRobin_v2
300,300,120,180,86,-147.1063,87.7878,0.0334,0.3333,0.3333,0.3333,47,RoundRobin_v2
300,300,120,180,87,-147.1121,87.8578,0.0332,0.3333,0.3333,0.3333,48,RoundRobin_v2
300,300,126,174,92,-143.6109,86.33,0.0354,0.3333,0.3333,0.3333,49,RoundRobin_v2
300,300,123,177,88,-144.4906,87.1433,0.0292,0.3333,0.3333,0.3333,50,RoundRobin_v2
300,300,124,176,90,-145.044,87.4533,0.0341,0.3333,0.3333,0.3333,51,RoundRobin_v2
300,300,122,178,87,-146.8682,87.7522,0.0377,0.3333,0.3333,0.3333,52,RoundRobin_v2
300,300,123,177,88,-145.5729,87.6333,0.0336,0.3333,0.3333,0.3333,53,RoundRobin_v2
300,300,120,180,87,-146.7108,87.9811,0.0305,0.3333,0.3333,0.3333,54,RoundRobin_v2
300,300,125,175,91,-144.8839,87.6078,0.0354,0.3333,0.3333,0.3333,55,RoundRobin_v2
300,300,123,177,91,-145.6932,87.2889,0.0353,0.3333,0.3333,0.3333,56,RoundRobin_v2
300,300,118,182,86,-147.5429,86.95,0.0329,0.3333,0.3333,0.3333,57,RoundRobin_v2
300,300,123,177,89,-144.8853,87.1544,0.0314,0.3333,0.3333,0.3333,58,RoundRobin_v2
300,300,115,185,83,-149.6008,87.6633,0.0336,0.3333,0.3333,0.3333,59,RoundRobin_v2
300,300,121,179,90,-145.9806,86.5122,0.0339,0.3333,0.3333,0.3333,60,RoundRobin_v2
300,300,127,173,94,-143.4024,87.0911,0.0344,0.3333,0.3333,0.3333,61,RoundRobin_v2
300,300,124,176,93,-144.7565,87.3522,0.0328,0.3333,0.3333,0.3333,62,RoundRobin_v2
300,300,120,180,88,-146.9537,86.9611,0.035,0.3333,0.3333,0.3333,63,RoundRobin_v2
300,300,127,173,94,-142.8036,86.6156,0.0327,0.3333,0.3333,0.3333,64,RoundRobin_v2
300,300,121,179,93,-146.1259,87.0022,0.0333,0.3333,0.3333,0.3333,65,RoundRobin_v2
300,300,125,175,92,-143.8822,86.3156,0.0342,0.3333,0.3333,0.3333,66,RoundRobin_v2
300,300,126,174,92,-144.7983,87.8511,0.0369,0.3333,0.3333,0.3333,67,RoundRobin_v2
300,300,127,173,93,-142.9904,87.6689,0.0301,0.3333,0.3333,0.3333,68,RoundRobin_v2
300,300,123,177,90,-145.2877,87.1056,0.0339,0.3333,0.3333,0.3333,69,RoundRobin_v2
300,300,123,177,92,-145.9314,87.44,0.0362,0.3333,0.3333,0.3333,70,RoundRobin_v2
300,300,134,166,97,-140.7015,86.63,0.0406,0.3333,0.3333,0.3333,71,RoundRobin_v2
300,300,122,178,89,-144.9533,86.9378,0.0297,0.3333,0.3333,0.3333,72,RoundRobin_v2
300,300,117,183,86,-149.1237,87.3567,0.0375,0.3333,0.3333,0.3333,73,RoundRobin_v2
300,300,121,179,87,-146.2987,87.41,0.0329,0.3333,0.3333,0.3333,74,RoundRobin_v2
300,300,127,173,94,-142.9053,87.1378,0.0317,0.3333,0.3333,0.3333,75,RoundRobin_v2
300,300,125,175,90,-144.9204,87.2,0.037,0.3333,0.3333,0.3333,76,RoundRobin_v2
300,300,125,175,92,-144.549,87.2989,0.0347,0.3333,0.3333,0.3333,77,RoundRobin_v2
300,300,130,170,94,-141.6073,87.18,0.0326,0.3333,0.3333,0.3333,78,RoundRobin_v2
300,300,120,180,85,-146.508,87.0878,0.0324,0.3333,0.3333,0.3333,79,RoundRobin_v2
300,300,125,175,92,-144.2642,87.1978,0.0333,0.3333,0.3333,0.3333,80,RoundRobin_v2
300,300,129,171,97,-141.6325,85.6033,0.0352,0.3333,0.3333,0.3333,81,RoundRobin_v2
300,300,125,175,90,-144.4031,87.13,0.0344,0.3333,0.3333,0.3333,82,RoundRobin_v2
300,300,121,179,87,-146.7051,87.5611,0.0346,0.3333,0.3333,0.3333,83,RoundRobin_v2
300,300,125,175,92,-144.2891,86.2911,0.0365,0.3333,0.3333,0.3333,84,RoundRobin_v2
300,300,127,173,94,-143.2838,87.21,0.0334,0.3333,0.3333,0.3333,85,RoundRobin_v2
300,300,116,184,83,-149.4755,86.9833,0.0381,0.3333,0.3333,0.3333,86,RoundRobin_v2
300,300,124,176,92,-145.1192,87.24,0.0352,0.3333,0.3333,0.3333,87,RoundRobin_v2
300,300,125,175,92,-143.9367,87.4311,0.0308,0.3333,0.3333,0.3333,88,RoundRobin_v2
300,300,132,168,97,-140.9451,85.9711,0.0384,0.3333,0.3333,0.3333,89,RoundRobin_v2
300,300,124,176,90,-145.2142,86.55,0.0381,0.3333,0.3333,0.3333,90,RoundRobin_v2
300,300,118,182,86,-148.4625,86.4867,0.0396,0.3333,0.3333,0.3333,91,RoundRobin_v2
300,300,127,173,92,-143.1961,86.9033,0.034,0.3333,0.3333,0.3333,92,RoundRobin_v2
300,300,131,169,93,-140.6775,87.1411,0.0303,0.3333,0.3333,0.3333,93,RoundRobin_v2
300,300,120,180,86,-147.4379,86.3578,0.0399,0.3333,0.3333,0.3333,94,RoundRobin_v2
300,300,122,178,89,-145.5861,87.4944,0.0315,0.3333,0.3333,0.3333,95,RoundRobin_v2
300,300,120,180,91,-146.408,86.6756,0.033,0.3333,0.3333,0.3333,96,RoundRobin_v2
300,300,124,176,95,-144.4123,86.3644,0.0342,0.3333,0.3333,0.3333,97,RoundRobin_v2
300,300,123,177,87,-146.0715,87.7667,0.036,0.3333,0.3333,0.3333,98,RoundRobin_v2
300,300,125,175,89,-143.4363,86.7633,0.0301,0.3333,0.3333,0.3333,99,RoundRobin_v2
300,300,126,174,95,-143.5799,86.8678,0.0335,0.3333,0.3333,0.3333,100,RoundRobin_v2
