total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,300,0,93,-994.7591,326.9456,0.0672,0.3333,0.3333,0.3333,1,RoundRobin_v2
300,300,300,0,95,-990.7676,324.4078,0.0873,0.3333,0.3333,0.3333,2,RoundRobin_v2
300,300,300,0,98,-995.4366,317.3478,0.231,0.3333,0.3333,0.3333,3,RoundRobin_v2
300,300,300,0,93,-1004.8553,327.3333,0.1169,0.3333,0.3333,0.3333,4,RoundRobin_v2
300,300,300,0,100,-963.8216,311.7244,0.149,0.3333,0.3333,0.3333,5,RoundRobin_v2
300,300,300,0,92,-1016.9239,330.0533,0.1386,0.3333,0.3333,0.3333,6,RoundRobin_v2
300,300,300,0,96,-1002.0055,324.7556,0.144,0.3333,0.3333,0.3333,7,RoundRobin_v2
300,300,300,0,95,-1017.2039,330.35,0.1352,0.3333,0.3333,0.3333,8,RoundRobin_v2
300,300,300,0,93,-977.8902,319.62,0.0956,0.3333,0.3333,0.3333,9,RoundRobin_v2
300,300,300,0,93,-1007.4616,330.8567,0.0726,0.3333,0.3333,0.3333,10,RoundRobin_v2
300,300,300,0,92,-1014.1312,333.5367,0.065,0.3333,0.3333,0.3333,11,RoundRobin_v2
300,300,300,0,89,-1057.3173,342.2689,0.1594,0.3333,0.3333,0.3333,12,RoundRobin_v2
300,300,300,0,98,-979.6735,317.8589,0.1349,0.3333,0.3333,0.3333,13,RoundRobin_v2
300,300,300,0,91,-1059.502,348.0156,0.0757,0.3333,0.3333,0.3333,14,RoundRobin_v2
300,300,300,0,96,-1014.0801,326.4844,0.1823,0.3333,0.3333,0.3333,15,RoundRobin_v2
300,300,300,0,95,-986.8384,323.2711,0.0845,0.3333,0.3333,0.3333,16,RoundRobin_v2
300,300,300,0,91,-1053.4144,345.7211,0.0802,0.3333,0.3333,0.3333,17,RoundRobin_v2
300,300,300,0,96,-991.8979,317.7267,0.205,0.3333,0.3333,0.3333,18,RoundRobin_v2
300,300,300,0,90,-1024.9601,334.4133,0.1105,0.3333,0.3333,0.3333,19,RoundRobin_v2
300,300,300,0,94,-976.6833,312.7444,0.2035,0.3333,0.3333,0.3333,20,RoundRobin_v2
300,300,300,0,100,-977.2661,317.2778,0.1312,0.3333,0.3333,0.3333,21,RoundRobin_v2
300,300,300,0,94,-987.5334,320.2844,0.1381,0.3333,0.3333,0.3333,22,RoundRobin_v2
300,300,300,0,89,-1036.555,334.6033,0.1718,0.3333,0.3333,0.3333,23,RoundRobin_v2
300,300,300,0,94,-962.7748,314.2156,0.1017,0.3333,0.3333,0.3333,24,RoundRobin_v2
300,300,300,0,96,-973.3494,317.56,0.1047,0.3333,0.3333,0.3333,25,RoundRobin_v2
300,300,300,0,93,-1032.6343,336.4922,0.1185,0.3333,0.3333,0.3333,26,RoundRobin_v2
300,300,300,0,98,-948.9709,312.1867,0.0588,0.3333,0.3333,0.3333,27,RoundRobin_v2
