total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,base_seed,policy
300,300,118,182,71,-350.6995,86.5665,0.0356,0.3333,0.3333,0.3333,1,0,RoundRobin
300,300,122,178,71,-351.08,87.36,0.0368,0.3333,0.3333,0.3333,2,0,RoundRobin
300,300,121,179,71,-350.7162,87.0721,0.0324,0.3333,0.3333,0.3333,3,0,RoundRobin
300,300,122,178,71,-350.4392,87.1464,0.0324,0.3333,0.3333,0.3333,4,0,RoundRobin
300,300,122,178,71,-348.5288,86.5096,0.0319,0.3333,0.3333,0.3333,5,0,RoundRobin
300,300,125,175,71,-346.0131,86.171,0.0387,0.3333,0.3333,0.3333,6,0,RoundRobin
300,300,121,179,71,-352.1346,87.5449,0.0326,0.3333,0.3333,0.3333,7,0,RoundRobin
300,300,123,177,71,-348.833,86.7777,0.0305,0.3333,0.3333,0.3333,8,0,RoundRobin
300,300,121,179,71,-350.8558,87.1186,0.0339,0.3333,0.3333,0.3333,9,0,RoundRobin
300,300,121,179,71,-351.1476,87.2159,0.0325,0.3333,0.3333,0.3333,10,0,RoundRobin
300,300,123,177,71,-349.8913,87.1304,0.0294,0.3333,0.3333,0.3333,11,0,RoundRobin
300,300,123,177,71,-348.5792,86.6931,0.0333,0.3333,0.3333,0.3333,12,0,RoundRobin
300,300,123,177,71,-346.8205,86.1068,0.033,0.3333,0.3333,0.3333,13,0,RoundRobin
300,300,121,179,71,-347.9259,86.142,0.0314,0.3333,0.3333,0.3333,14,0,RoundRobin
300,300,117,183,71,-353.6146,87.3715,0.0315,0.3333,0.3333,0.3333,15,0,RoundRobin
300,300,115,185,71,-353.6323,87.0441,0.0326,0.3333,0.3333,0.3333,16,0,RoundRobin
300,300,119,181,71,-351.2045,86.9015,0.0356,0.3333,0.3333,0.3333,17,0,RoundRobin
300,300,118,182,71,-351.6105,86.8702,0.0301,0.3333,0.3333,0.3333,18,0,RoundRobin
300,300,122,178,71,-348.9609,86.6536,0.0307,0.3333,0.3333,0.3333,19,0,RoundRobin
300,300,115,185,71,-352.9725,86.8242,0.0361,0.3333,0.3333,0.3333,20,0,RoundRobin
300,300,118,182,71,-351.4061,86.802,0.0325,0.3333,0.3333,0.3333,21,0,RoundRobin
300,300,118,182,71,-353.469,87.4897,0.0331,0.3333,0.3333,0.3333,22,0,RoundRobin
300,300,115,185,71,-354.19,87.23,0.0364,0.3333,0.3333,0.3333,23,0,RoundRobin
300,300,118,182,71,-352.7363,87.2454,0.0299,0.3333,0.3333,0.3333,24,0,RoundRobin
300,300,125,175,71,-346.07,86.19,0.0336,0.3333,0.3333,0.3333,25,0,RoundRobin
300,300,125,175,71,-345.8015,86.1005,0.0333,0.3333,0.3333,0.3333,26,0,RoundRobin
300,300,116,184,71,-354.0802,87.3601,0.0321,0.3333,0.3333,0.3333,27,0,RoundRobin
300,300,123,177,71,-348.1235,86.5412,0.0311,0.3333,0.3333,0.3333,28,0,RoundRobin
300,300,123,177,71,-347.6441,86.3814,0.0355,0.3333,0.3333,0.3333,29,0,RoundRobin
300,300,117,183,71,-353.3357,87.2786,0.0296,0.3333,0.3333,0.3333,30,0,RoundRobin
300,300,114,186,71,-353.6656,86.8885,0.0444,0.3333,0.3333,0.3333,31,0,RoundRobin
