State,Action,Q-value
0,0,0.477234
0,1,0.290891
0,2,0.590490
0,3,0.518313
1,0,0.429645
1,1,0.000000
1,2,0.656100
1,3,0.518215
2,0,0.559033
2,1,0.729000
2,2,0.414872
2,3,0.625362
3,0,0.602296
3,1,0.000000
3,2,0.000000
3,3,0.000000
4,0,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.466812
6,0,0.000000
6,1,0.810000
6,2,0.000000
6,3,0.566909
8,0,0.000000
8,1,0.000000
8,2,0.000000
8,3,0.000000
9,0,0.000000
9,1,0.590322
9,2,0.000000
9,3,0.000000
10,0,0.277703
10,1,0.900000
10,2,0.000000
10,3,0.616690
13,0,0.000000
13,1,0.105778
13,2,0.880252
13,3,0.068939
14,0,0.607900
14,1,0.804906
14,2,1.000000
14,3,0.738169
