Time,Total created,Total accepted,Total dropped,Total completed,Reward
1.0,1,1,0,0,0.5
2.0,2,2,0,1,2.5
3.0,3,3,0,2,2.5
4.0,4,4,0,2,0.5
5.0,5,5,0,2,0.5
6.0,6,6,0,4,4.5
7.0,7,7,0,5,2.5
8.0,8,8,0,7,4.5
9.0,9,9,0,7,0.5
10.0,10,10,0,8,2.5
11.0,11,11,0,8,0.5
12.0,12,12,0,8,0.0
13.0,13,13,0,9,2.0
14.0,14,14,0,10,2.0
15.0,15,15,0,13,6.5
16.0,16,16,0,14,2.5
17.0,17,17,0,15,2.5
18.0,18,18,0,16,2.5
19.0,19,19,0,16,0.5
20.0,20,20,0,17,2.5
21.0,21,21,0,17,0.0
22.0,22,22,0,18,2.0
23.0,23,23,0,19,2.0
24.0,24,24,0,19,-0.5
25.0,25,25,0,21,4.0
26.0,26,26,0,21,-0.5
27.0,27,27,0,23,4.0
28.0,28,28,0,23,-0.5
29.0,29,29,0,24,1.5
30.0,30,30,0,25,1.5
31.0,31,31,0,26,1.5
32.0,32,32,0,27,1.5
33.0,33,33,0,28,1.5
34.0,34,34,0,29,1.5
35.0,35,35,0,31,4.0
36.0,36,36,0,31,-0.5
37.0,37,37,0,33,4.0
38.0,38,38,0,35,4.5
39.0,39,39,0,36,2.5
40.0,40,40,0,38,4.5
41.0,41,41,0,38,0.5
42.0,42,42,0,39,2.5
43.0,43,43,0,40,2.5
44.0,44,44,0,41,2.5
45.0,45,45,0,42,2.5
46.0,46,46,0,43,2.5
47.0,47,47,0,44,2.5
48.0,48,48,0,45,2.5
49.0,49,49,0,46,2.5
50.0,50,50,0,47,2.5
51.0,51,51,0,48,2.5
52.0,52,52,0,49,2.5
53.0,53,53,0,49,0.0
54.0,54,54,0,50,2.0
55.0,55,55,0,51,2.0
56.0,56,56,0,51,-0.5
57.0,57,57,0,52,1.5
58.0,58,58,0,54,4.0
59.0,59,59,0,56,4.5
60.0,60,60,0,57,2.5
61.0,61,61,0,59,4.5
62.0,62,62,0,60,2.5
63.0,63,63,0,62,4.5
64.0,64,64,0,62,0.5
65.0,65,65,0,62,0.5
66.0,66,66,0,62,0.0
67.0,67,67,0,64,4.5
68.0,68,68,0,64,0.0
69.0,69,69,0,66,4.5
70.0,70,70,0,67,2.5
71.0,71,71,0,67,0.0
72.0,72,72,0,70,6.5
73.0,73,73,0,71,2.5
74.0,74,74,0,71,0.5
75.0,75,75,0,72,2.5
76.0,76,76,0,73,2.5
77.0,77,77,0,73,0.0
78.0,78,78,0,75,4.5
79.0,79,79,0,75,0.0
80.0,80,80,0,77,4.5
81.0,81,81,0,77,0.0
82.0,82,82,0,78,2.0
83.0,83,83,0,79,2.0
84.0,84,84,0,80,2.0
85.0,85,85,0,80,-0.5
86.0,86,86,0,82,4.0
87.0,87,87,0,85,6.5
88.0,88,88,0,85,0.5
89.0,89,89,0,86,2.5
90.0,90,90,0,87,2.5
91.0,91,91,0,88,2.5
92.0,92,92,0,90,4.5
93.0,93,93,0,91,2.5
94.0,94,94,0,91,0.5
95.0,95,95,0,91,0.0
96.0,96,96,0,93,4.5
97.0,97,97,0,94,2.5
98.0,98,98,0,94,0.0
99.0,99,99,0,94,-0.5
100.0,100,100,0,96,4.0
