Time,Total created,Total accepted,Total dropped,Total completed,Reward
1.0,"(1, 1, 0, 0)",0.5
2.0,"(2, 2, 0, 1)",2.5
3.0,"(3, 3, 0, 2)",2.5
4.0,"(4, 4, 0, 2)",0.5
5.0,"(5, 5, 0, 2)",0.5
6.0,"(6, 6, 0, 4)",4.5
7.0,"(7, 7, 0, 5)",2.5
8.0,"(8, 8, 0, 7)",4.5
9.0,"(9, 9, 0, 7)",0.5
10.0,"(10, 10, 0, 8)",2.5
11.0,"(11, 11, 0, 8)",0.0
12.0,"(12, 12, 0, 8)",0.5
13.0,"(13, 13, 0, 9)",2.0
14.0,"(14, 14, 0, 9)",0.0
15.0,"(15, 15, 0, 10)",2.5
16.0,"(16, 16, 0, 11)",2.5
17.0,"(17, 17, 0, 12)",2.5
18.0,"(18, 18, 0, 13)",2.5
19.0,"(19, 19, 0, 13)",0.5
20.0,"(20, 20, 0, 14)",2.0
