Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
1,4.0,-9.0,-10.5
2,-4.5,-3.5,-5.0
3,-20.5,22.0,-6.5
4,-3.0,-2.5,-12.5
5,-7.5,-7.5,-8.5
6,0.5,-6.5,-6.5
7,-18.0,15.5,-6.5
8,-3.5,24.5,-6.0
9,-12.0,-2.0,-13.5
10,13.0,-13.5,-5.5
11,1.0,-6.0,-8.0
12,19.0,21.0,-8.0
13,-9.0,-4.5,-7.0
14,-5.5,-13.0,-5.0
15,-1.0,22.0,-7.0
16,23.0,-5.5,-13.0
17,23.5,-14.0,-6.0
18,-7.0,-4.0,-9.5
19,-13.0,-9.0,-8.0
20,21.5,-1.0,-5.0
21,22.0,23.5,-8.5
22,-1.0,-6.5,-4.5
23,-6.0,21.0,-7.0
24,19.0,-0.5,-5.0
25,23.5,-6.5,-6.5
26,-1.5,23.0,-8.0
27,-6.0,23.0,-5.5
28,23.5,21.5,-8.5
29,19.0,-4.0,-9.0
30,23.5,-2.0,-7.5
31,-25.5,-3.0,-5.0
32,23.0,16.0,-6.5
33,23.5,20.5,-5.0
34,-4.0,-2.0,-20.0
35,19.5,-9.0,-3.5
36,23.5,-4.5,-10.5
37,17.5,-2.0,-7.0
38,23.5,-2.0,-6.5
39,-3.0,22.5,-9.0
40,23.5,-4.0,9.0
41,-1.5,22.5,-31.5
42,22.0,21.5,-7.0
43,-6.0,-2.5,-8.0
44,0.0,19.0,-5.0
45,1.5,23.5,-4.0
46,22.5,20.5,-5.5
47,-3.0,-7.5,-13.5
48,23.0,22.0,-7.5
49,0.5,23.5,-8.0
50,23.5,24.0,-14.5
51,22.5,-5.0,-19.0
52,-6.0,-6.0,-6.0
53,23.5,-5.0,-6.0
54,23.0,23.5,-7.0
55,-1.5,22.0,-9.5
56,-1.0,-5.0,-11.5
57,-12.5,-5.0,-11.0
58,23.5,1.0,-18.0
59,23.0,24.5,-7.0
60,23.5,-1.0,-0.5
61,-5.0,0.5,-7.0
62,23.0,-0.5,-13.0
63,23.5,22.0,-5.0
64,-3.0,22.0,-14.5
65,22.0,23.5,-3.5
66,23.5,-3.0,-13.0
67,-3.5,23.5,-3.5
68,-3.0,23.0,-2.0
69,23.5,23.5,-6.0
70,-14.5,24.5,-6.0
71,23.0,24.5,-5.5
72,20.5,23.0,-18.5
73,-5.0,-7.0,-10.0
74,-4.0,21.5,-8.0
75,-3.5,23.5,-20.0
76,23.5,22.5,-6.0
77,20.5,21.0,-6.5
78,22.0,-1.5,-7.5
79,17.0,-5.0,-6.5
80,23.5,-2.5,-5.5
81,20.0,1.5,-10.5
82,23.5,1.5,-7.0
83,23.0,17.0,-4.5
84,22.0,24.5,-3.5
85,20.5,24.5,-8.0
86,23.5,23.5,-5.0
87,-2.5,23.5,-4.5
88,-3.0,24.5,-8.0
89,0.0,-5.0,-2.5
90,1.0,-11.0,-15.5
91,23.5,-12.5,-16.0
92,-22.5,-6.0,-45.5
93,23.0,-1.0,-9.0
94,23.5,22.5,-5.5
95,-0.5,-10.0,-4.0
96,-1.5,-3.0,-8.0
97,22.0,21.0,-2.5
98,3.0,24.0,-4.5
99,22.5,21.5,-6.5
100,22.0,-6.0,-6.0
101,-5.5,23.0,-6.5
102,-1.0,-8.5,-5.5
103,1.5,-3.5,10.0
104,23.0,1.5,-17.0
105,23.5,0.5,-14.5
106,23.5,-9.0,-20.0
107,23.0,0.0,-6.0
108,23.0,24.5,-4.5
109,23.5,23.0,-7.0
110,23.5,-2.0,-8.0
111,-4.0,20.5,-9.0
112,23.5,24.5,-6.0
113,22.5,23.5,-10.0
114,21.5,23.0,-4.5
115,22.5,23.0,-7.5
116,23.0,8.0,-13.0
117,23.5,23.0,-4.0
118,23.5,-7.0,-8.5
119,-0.5,23.0,-5.5
120,23.0,-1.0,-4.5
121,-0.5,23.0,-8.0
122,19.5,-4.5,-13.5
123,23.5,20.5,-6.0
124,-0.5,-5.0,-8.0
125,21.5,24.5,-1.0
126,23.5,20.5,-2.0
127,23.0,2.5,-10.5
128,22.5,23.5,-2.0
129,-8.5,22.5,-7.5
130,23.5,24.5,-4.5
131,21.5,24.5,14.5
132,23.5,23.5,-13.0
133,22.5,19.5,-10.5
134,-15.5,22.5,-12.0
135,23.5,-7.0,-6.0
136,23.5,19.0,-21.0
137,22.5,23.5,-10.0
138,23.0,-5.0,14.5
139,23.5,-10.0,-10.5
140,21.5,-6.5,0.0
141,-17.0,24.5,-6.5
142,22.5,-2.5,-18.0
143,21.5,-7.5,-2.5
144,-7.0,23.0,-7.0
145,1.5,22.0,11.0
146,22.0,24.5,-5.5
147,23.0,-2.0,-14.0
148,-2.5,-6.5,-3.5
149,-3.0,-1.5,-10.0
150,21.0,2.0,-4.5
151,5.0,24.0,-6.0
152,19.0,21.0,-9.5
153,22.0,2.0,-7.0
154,15.0,-13.0,-7.5
155,23.5,24.5,-10.5
156,23.5,16.0,-8.5
157,23.0,24.5,-11.0
158,21.5,18.5,-9.0
159,-7.0,-4.5,-6.0
160,-8.0,24.0,-6.0
161,-7.5,1.5,-4.5
162,-7.0,-7.0,-9.5
163,-8.0,24.5,-6.0
164,23.5,-2.0,-20.5
165,-4.0,23.0,-22.5
166,23.5,-3.5,-4.0
167,23.5,22.5,8.0
168,16.5,24.5,-6.0
169,-3.0,-17.5,-4.5
170,-3.5,17.0,-3.0
171,23.0,-0.5,-0.5
172,23.5,23.5,-5.5
173,22.5,23.0,9.0
174,23.0,23.5,-5.5
175,23.5,23.5,-19.0
176,-7.0,-5.5,-6.5
177,-2.0,21.5,-4.5
178,23.5,24.5,-6.0
179,-7.0,22.5,-2.5
180,-5.0,-14.0,-9.5
181,1.5,24.5,18.0
182,23.5,23.0,-6.5
183,13.5,24.0,-1.5
184,22.5,24.0,-11.0
185,14.5,23.5,-16.0
186,23.5,23.5,-6.0
187,0.0,-2.5,-7.5
188,23.0,22.0,-6.0
189,18.5,24.0,-5.0
190,-25.5,-0.5,-11.5
191,23.0,24.0,-3.5
192,17.0,22.5,-5.5
193,22.5,22.5,-2.0
194,23.5,-4.5,-6.0
195,-1.5,22.5,-14.0
