step,policy,action,reward,total_reward,drop_rate,completed,dropped
1,epsilon_greedy,0,0.5,0.5,0.0,0,0
2,epsilon_greedy,0,2.5,3.0,0.0,1,0
3,epsilon_greedy,0,2.5,5.5,0.0,2,0
4,epsilon_greedy,0,0.0,5.5,0.0,2,0
5,epsilon_greedy,1,0.0,5.5,0.0,2,0
6,epsilon_greedy,1,2.0,7.5,0.0,3,0
7,epsilon_greedy,0,2.0,9.5,0.0,4,0
8,epsilon_greedy,1,2.0,11.5,0.0,5,0
9,epsilon_greedy,0,4.5,16.0,0.0,7,0
10,epsilon_greedy,1,2.0,18.0,0.0,8,0
11,epsilon_greedy,0,0.0,18.0,0.0,8,0
12,epsilon_greedy,0,-0.5,17.5,0.0,8,0
13,epsilon_greedy,2,-0.5,17.0,0.0,8,0
14,epsilon_greedy,2,4.0,21.0,0.0,10,0
15,epsilon_greedy,1,4.0,25.0,0.0,12,0
16,epsilon_greedy,0,2.0,27.0,0.0,13,0
17,epsilon_greedy,0,-0.5,26.5,0.0,13,0
18,epsilon_greedy,2,2.0,28.5,0.0,14,0
19,epsilon_greedy,0,2.0,30.5,0.0,15,0
20,epsilon_greedy,1,-0.5,30.0,0.0,15,0
21,epsilon_greedy,2,1.5,31.5,0.0,16,0
22,epsilon_greedy,1,-1.0,30.5,0.0,16,0
23,epsilon_greedy,0,3.5,34.0,0.0,18,0
24,epsilon_greedy,2,1.5,35.5,0.0,19,0
25,epsilon_greedy,0,1.5,37.0,0.0,20,0
26,epsilon_greedy,2,1.5,38.5,0.0,21,0
27,epsilon_greedy,1,1.5,40.0,0.0,22,0
28,epsilon_greedy,1,1.5,41.5,0.0,23,0
29,epsilon_greedy,0,-1.0,40.5,0.0,23,0
30,epsilon_greedy,2,-1.5,39.0,0.0,23,0
31,epsilon_greedy,0,0.5,39.5,0.0,24,0
32,epsilon_greedy,1,3.0,42.5,0.0,26,0
33,epsilon_greedy,2,-1.5,41.0,0.0,26,0
34,epsilon_greedy,0,3.0,44.0,0.0,28,0
35,epsilon_greedy,0,1.0,45.0,0.0,29,0
36,epsilon_greedy,1,1.0,46.0,0.0,30,0
37,epsilon_greedy,2,1.0,47.0,0.0,31,0
38,epsilon_greedy,0,3.5,50.5,0.0,33,0
39,epsilon_greedy,1,6.0,56.5,0.0,36,0
40,epsilon_greedy,1,2.0,58.5,0.0,37,0
41,epsilon_greedy,1,-0.5,58.0,0.0,37,0
42,epsilon_greedy,2,2.0,60.0,0.0,38,0
43,epsilon_greedy,0,2.0,62.0,0.0,39,0
44,epsilon_greedy,1,-0.5,61.5,0.0,39,0
45,epsilon_greedy,2,-1.0,60.5,0.0,39,0
46,epsilon_greedy,0,3.5,64.0,0.0,41,0
47,epsilon_greedy,1,4.0,68.0,0.0,43,0
48,epsilon_greedy,1,2.0,70.0,0.0,44,0
49,epsilon_greedy,1,2.0,72.0,0.0,45,0
50,epsilon_greedy,0,-0.5,71.5,0.0,45,0
51,epsilon_greedy,1,1.0,72.5,0.0,46,0
52,epsilon_greedy,2,1.5,74.0,0.0,47,0
53,epsilon_greedy,2,1.5,75.5,0.0,48,0
54,epsilon_greedy,1,1.5,77.0,0.0,49,0
55,epsilon_greedy,1,-1.0,76.0,0.0,49,0
56,epsilon_greedy,0,1.0,77.0,0.0,50,0
57,epsilon_greedy,0,1.0,78.0,0.0,51,0
58,epsilon_greedy,2,-1.5,76.5,0.0,51,0
59,epsilon_greedy,1,0.5,77.0,0.0,52,0
60,epsilon_greedy,0,3.0,80.0,0.0,54,0
61,epsilon_greedy,2,3.5,83.5,0.0,56,0
62,epsilon_greedy,0,4.0,87.5,0.0,58,0
63,epsilon_greedy,0,4.5,92.0,0.0,60,0
64,epsilon_greedy,0,2.0,94.0,0.0,61,0
65,epsilon_greedy,2,0.0,94.0,0.0,61,0
66,epsilon_greedy,1,2.0,96.0,0.0,62,0
67,epsilon_greedy,1,2.0,98.0,0.0,63,0
68,epsilon_greedy,0,-0.5,97.5,0.0,63,0
69,epsilon_greedy,2,4.0,101.5,0.0,65,0
70,epsilon_greedy,1,2.0,103.5,0.0,66,0
71,epsilon_greedy,0,2.0,105.5,0.0,67,0
72,epsilon_greedy,1,1.5,107.0,0.0,68,0
73,epsilon_greedy,2,4.5,111.5,0.0,70,0
74,epsilon_greedy,0,2.0,113.5,0.0,71,0
75,epsilon_greedy,1,0.0,113.5,0.0,71,0
76,epsilon_greedy,1,2.0,115.5,0.0,72,0
77,epsilon_greedy,0,-0.5,115.0,0.0,72,0
78,epsilon_greedy,2,4.0,119.0,0.0,74,0
79,epsilon_greedy,0,-0.5,118.5,0.0,74,0
80,epsilon_greedy,2,4.0,122.5,0.0,76,0
81,epsilon_greedy,0,-0.5,122.0,0.0,76,0
82,epsilon_greedy,1,4.0,126.0,0.0,78,0
83,epsilon_greedy,1,-0.5,125.5,0.0,78,0
84,epsilon_greedy,1,4.0,129.5,0.0,80,0
85,epsilon_greedy,0,1.5,131.0,0.0,81,0
86,epsilon_greedy,2,-0.5,130.5,0.0,81,0
87,epsilon_greedy,2,4.0,134.5,0.0,83,0
88,epsilon_greedy,1,2.0,136.5,0.0,84,0
89,epsilon_greedy,1,2.0,138.5,0.0,85,0
90,epsilon_greedy,2,2.0,140.5,0.0,86,0
91,epsilon_greedy,0,4.0,144.5,0.0,88,0
92,epsilon_greedy,0,2.0,146.5,0.0,89,0
93,epsilon_greedy,1,2.0,148.5,0.0,90,0
94,epsilon_greedy,1,-0.5,148.0,0.0,90,0
95,epsilon_greedy,2,2.0,150.0,0.0,91,0
96,epsilon_greedy,0,-0.5,149.5,0.0,91,0
97,epsilon_greedy,2,-1.0,148.5,0.0,91,0
98,epsilon_greedy,0,3.5,152.0,0.0,93,0
99,epsilon_greedy,1,1.5,153.5,0.0,94,0
100,epsilon_greedy,2,1.5,155.0,0.0,95,0
