step,policy,action,reward,total_reward,drop_rate,completed,dropped
1,greedy,0,0.5,0.5,0.0,0,0
2,greedy,0,2.5,3.0,0.0,1,0
3,greedy,0,2.5,5.5,0.0,2,0
4,greedy,0,0.0,5.5,0.0,2,0
5,greedy,1,0.0,5.5,0.0,2,0
6,greedy,1,2.0,7.5,0.0,3,0
7,greedy,0,2.0,9.5,0.0,4,0
8,greedy,1,2.0,11.5,0.0,5,0
9,greedy,0,4.5,16.0,0.0,7,0
10,greedy,0,2.5,18.5,0.0,8,0
11,greedy,0,0.0,18.5,0.0,8,0
12,greedy,1,-0.5,18.0,0.0,8,0
13,greedy,2,-0.5,17.5,0.0,8,0
14,greedy,2,4.0,21.5,0.0,10,0
15,greedy,1,6.5,28.0,0.0,13,0
16,greedy,0,0.0,28.0,0.0,13,0
17,greedy,1,2.0,30.0,0.0,14,0
18,greedy,1,-0.5,29.5,0.0,14,0
19,greedy,2,2.0,31.5,0.0,15,0
20,greedy,0,1.5,33.0,0.0,16,0
21,greedy,2,2.0,35.0,0.0,17,0
22,greedy,0,2.0,37.0,0.0,18,0
23,greedy,1,1.5,38.5,0.0,19,0
24,greedy,2,-0.5,38.0,0.0,19,0
25,greedy,2,-1.0,37.0,0.0,19,0
26,greedy,0,3.5,40.5,0.0,21,0
27,greedy,2,1.5,42.0,0.0,22,0
28,greedy,1,-1.0,41.0,0.0,22,0
29,greedy,0,-1.5,39.5,0.0,22,0
30,greedy,1,0.5,40.0,0.0,23,0
31,greedy,2,3.0,43.0,0.0,25,0
32,greedy,0,1.0,44.0,0.0,26,0
33,greedy,1,1.0,45.0,0.0,27,0
34,greedy,2,-1.5,43.5,0.0,27,0
35,greedy,1,-2.0,41.5,0.0,27,0
36,greedy,2,5.0,46.5,0.0,30,0
37,greedy,0,-1.5,45.0,0.0,30,0
38,greedy,1,5.5,50.5,0.0,33,0
39,greedy,2,1.5,52.0,0.0,34,0
40,greedy,2,1.5,53.5,0.0,35,0
41,greedy,2,4.0,57.5,0.0,37,0
42,greedy,0,2.0,59.5,0.0,38,0
43,greedy,0,2.0,61.5,0.0,39,0
44,greedy,1,-0.5,61.0,0.0,39,0
45,greedy,2,1.5,62.5,0.0,40,0
46,greedy,1,4.0,66.5,0.0,42,0
47,greedy,1,2.0,68.5,0.0,43,0
48,greedy,0,-0.5,68.0,0.0,43,0
49,greedy,2,-1.0,67.0,0.0,43,0
50,greedy,0,3.5,70.5,0.0,45,0
51,greedy,2,4.0,74.5,0.0,47,0
52,greedy,1,2.0,76.5,0.0,48,0
53,greedy,1,-0.5,76.0,0.0,48,0
54,greedy,2,4.0,80.0,0.0,50,0
55,greedy,0,-0.5,79.5,0.0,50,0
56,greedy,2,-1.0,78.5,0.0,50,0
57,greedy,0,1.0,79.5,0.0,51,0
58,greedy,1,-1.5,78.0,0.0,51,0
59,greedy,1,3.0,81.0,0.0,53,0
60,greedy,2,3.5,84.5,0.0,55,0
61,greedy,2,4.0,88.5,0.0,57,0
62,greedy,0,4.5,93.0,0.0,59,0
63,greedy,0,4.5,97.5,0.0,61,0
64,greedy,0,0.0,97.5,0.0,61,0
65,greedy,1,2.0,99.5,0.0,62,0
66,greedy,1,-0.5,99.0,0.0,62,0
67,greedy,2,2.0,101.0,0.0,63,0
68,greedy,0,-0.5,100.5,0.0,63,0
69,greedy,2,4.0,104.5,0.0,65,0
70,greedy,1,2.0,106.5,0.0,66,0
71,greedy,0,-0.5,106.0,0.0,66,0
72,greedy,2,4.0,110.0,0.0,68,0
73,greedy,1,4.0,114.0,0.0,70,0
74,greedy,0,2.0,116.0,0.0,71,0
75,greedy,1,-0.5,115.5,0.0,71,0
76,greedy,2,2.0,117.5,0.0,72,0
77,greedy,0,-0.5,117.0,0.0,72,0
78,greedy,2,4.0,121.0,0.0,74,0
79,greedy,0,2.0,123.0,0.0,75,0
80,greedy,1,2.0,125.0,0.0,76,0
81,greedy,0,-0.5,124.5,0.0,76,0
82,greedy,2,1.5,126.0,0.0,77,0
83,greedy,2,-1.0,125.0,0.0,77,0
84,greedy,0,6.0,131.0,0.0,80,0
85,greedy,1,-0.5,130.5,0.0,80,0
86,greedy,2,-1.0,129.5,0.0,80,0
87,greedy,0,3.5,133.0,0.0,82,0
88,greedy,1,1.0,134.0,0.0,83,0
89,greedy,2,4.0,138.0,0.0,85,0
90,greedy,1,2.0,140.0,0.0,86,0
91,greedy,0,-0.5,139.5,0.0,86,0
92,greedy,2,1.5,141.0,0.0,87,0
93,greedy,2,4.0,145.0,0.0,89,0
94,greedy,0,1.5,146.5,0.0,90,0
95,greedy,1,2.0,148.5,0.0,91,0
96,greedy,0,-0.5,148.0,0.0,91,0
97,greedy,1,4.0,152.0,0.0,93,0
98,greedy,0,-0.5,151.5,0.0,93,0
99,greedy,2,1.5,153.0,0.0,94,0
100,greedy,1,1.5,154.5,0.0,95,0
