step,action,reward,total_reward,drop_rate,completed,dropped
1,1,0.5,0.5,0.0,0,0
2,1,2.5,3.0,0.0,1,0
3,2,2.5,5.5,0.0,2,0
4,0,0.5,6.0,0.0,2,0
5,2,0.0,6.0,0.0,2,0
6,0,4.5,10.5,0.0,4,0
7,1,0.5,11.0,0.0,4,0
8,2,6.5,17.5,0.0,7,0
9,0,0.5,18.0,0.0,7,0
10,2,2.0,20.0,0.0,8,0
11,1,0.0,20.0,0.0,8,0
12,0,0.0,20.0,0.0,8,0
13,2,4.0,24.0,0.0,10,0
14,2,-0.5,23.5,0.0,10,0
15,0,1.5,25.0,0.0,11,0
16,1,-0.5,24.5,0.0,11,0
17,2,-4.0,20.5,0.059,12,1
18,0,4.0,24.5,0.056,14,1
19,2,2.0,26.5,0.053,15,1
20,0,2.0,28.5,0.05,16,1
