step,policy,action,reward,total_reward,drop_rate,completed,dropped
1,random,0,0.5,0.5,0.0,0,0
2,random,2,2.5,3.0,0.0,1,0
3,random,1,2.5,5.5,0.0,2,0
4,random,1,0.0,5.5,0.0,2,0
5,random,0,0.0,5.5,0.0,2,0
6,random,2,2.5,8.0,0.0,3,0
7,random,1,2.0,10.0,0.0,4,0
8,random,2,4.5,14.5,0.0,6,0
9,random,2,2.0,16.5,0.0,7,0
10,random,2,-0.5,16.0,0.0,7,0
11,random,2,-6.0,10.0,0.091,7,1
12,random,0,-0.5,9.5,0.083,7,1
13,random,0,4.0,13.5,0.077,9,1
14,random,1,4.5,18.0,0.071,11,1
15,random,0,2.5,20.5,0.067,12,1
16,random,0,0.0,20.5,0.062,12,1
17,random,0,2.0,22.5,0.059,13,1
18,random,0,-0.5,22.0,0.056,13,1
19,random,1,4.0,26.0,0.053,15,1
20,random,0,1.5,27.5,0.05,16,1
21,random,2,-0.5,27.0,0.048,16,1
22,random,1,-0.5,26.5,0.045,16,1
23,random,0,-4.0,22.5,0.087,17,2
24,random,2,2.0,24.5,0.083,18,2
25,random,2,-0.5,24.0,0.08,18,2
26,random,1,1.5,25.5,0.077,19,2
27,random,0,1.5,27.0,0.074,20,2
28,random,1,-1.0,26.0,0.071,20,2
29,random,2,1.0,27.0,0.069,21,2
30,random,1,1.0,28.0,0.067,22,2
31,random,0,-1.5,26.5,0.065,22,2
32,random,0,-2.5,24.0,0.094,24,3
33,random,2,1.5,25.5,0.091,25,3
34,random,1,1.5,27.0,0.088,26,3
35,random,1,1.0,28.0,0.086,27,3
36,random,1,-6.5,21.5,0.111,27,4
37,random,2,4.0,25.5,0.108,29,4
38,random,2,2.0,27.5,0.105,30,4
39,random,0,2.0,29.5,0.103,31,4
40,random,2,2.0,31.5,0.1,32,4
41,random,2,1.5,33.0,0.098,33,4
42,random,2,3.5,36.5,0.095,35,4
43,random,1,-0.5,36.0,0.093,35,4
44,random,2,-6.0,30.0,0.114,35,5
45,random,1,1.5,31.5,0.111,36,5
46,random,2,1.5,33.0,0.109,37,5
47,random,1,-1.0,32.0,0.106,37,5
48,random,1,1.0,33.0,0.104,38,5
49,random,1,-6.5,26.5,0.122,38,6
50,random,1,1.0,27.5,0.12,39,6
51,random,0,1.5,29.0,0.118,40,6
52,random,1,-1.0,28.0,0.115,40,6
53,random,1,-4.0,24.0,0.132,41,7
54,random,1,-4.0,20.0,0.148,42,8
55,random,1,1.5,21.5,0.145,43,8
56,random,2,-1.0,20.5,0.143,43,8
57,random,2,-1.5,19.0,0.14,43,8
58,random,1,-4.5,14.5,0.155,44,9
59,random,1,-4.0,10.5,0.169,45,10
60,random,1,3.5,14.0,0.167,47,10
61,random,0,-0.5,13.5,0.164,47,10
62,random,2,-0.5,13.0,0.161,47,10
63,random,1,-2.0,11.0,0.175,49,11
64,random,1,-6.0,5.0,0.188,49,12
65,random,2,2.0,7.0,0.185,50,12
66,random,2,-0.5,6.5,0.182,50,12
67,random,2,1.5,8.0,0.179,51,12
68,random,2,-4.0,4.0,0.191,52,13
69,random,1,2.0,6.0,0.188,53,13
70,random,1,-0.5,5.5,0.186,53,13
71,random,1,-1.0,4.5,0.183,53,13
72,random,0,4.0,8.5,0.181,55,13
73,random,0,2.0,10.5,0.178,56,13
74,random,0,4.0,14.5,0.176,58,13
75,random,0,-0.5,14.0,0.173,58,13
76,random,0,-6.0,8.0,0.184,58,14
77,random,0,-4.0,4.0,0.195,59,15
78,random,1,2.0,6.0,0.192,60,15
79,random,1,-0.5,5.5,0.19,60,15
80,random,1,1.5,7.0,0.188,61,15
81,random,2,-0.5,6.5,0.185,61,15
82,random,1,1.5,8.0,0.183,62,15
83,random,0,-1.0,7.0,0.181,62,15
84,random,2,-1.5,5.5,0.179,62,15
85,random,2,0.5,6.0,0.176,63,15
86,random,1,3.0,9.0,0.174,65,15
87,random,1,-4.0,5.0,0.184,66,16
88,random,2,1.0,6.0,0.182,67,16
89,random,1,3.5,9.5,0.18,69,16
90,random,1,-6.0,3.5,0.189,69,17
91,random,0,2.0,5.5,0.187,70,17
92,random,0,2.0,7.5,0.185,71,17
93,random,0,4.0,11.5,0.183,73,17
94,random,2,0.0,11.5,0.181,73,17
95,random,1,2.0,13.5,0.179,74,17
96,random,2,2.0,15.5,0.177,75,17
97,random,2,-0.5,15.0,0.175,75,17
98,random,0,1.5,16.5,0.173,76,17
99,random,0,1.0,17.5,0.172,77,17
100,random,1,1.5,19.0,0.17,78,17
