step,policy,action,reward,total_reward,drop_rate,completed,dropped
1,round_robin,0,0.5,0.5,0.0,0,0
2,round_robin,1,2.5,3.0,0.0,1,0
3,round_robin,2,2.5,5.5,0.0,2,0
4,round_robin,0,0.5,6.0,0.0,2,0
5,round_robin,1,0.5,6.5,0.0,2,0
6,round_robin,2,4.5,11.0,0.0,4,0
7,round_robin,0,2.5,13.5,0.0,5,0
8,round_robin,1,4.5,18.0,0.0,7,0
9,round_robin,2,0.5,18.5,0.0,7,0
10,round_robin,0,2.5,21.0,0.0,8,0
11,round_robin,1,0.0,21.0,0.0,8,0
12,round_robin,2,0.0,21.0,0.0,8,0
13,round_robin,0,4.0,25.0,0.0,10,0
14,round_robin,1,-0.5,24.5,0.0,10,0
15,round_robin,2,2.0,26.5,0.0,11,0
16,round_robin,0,2.0,28.5,0.0,12,0
17,round_robin,1,4.0,32.5,0.0,14,0
18,round_robin,2,4.5,37.0,0.0,16,0
19,round_robin,0,0.5,37.5,0.0,16,0
20,round_robin,1,2.0,39.5,0.0,17,0
21,round_robin,2,-0.5,39.0,0.0,17,0
22,round_robin,0,-0.5,38.5,0.0,17,0
23,round_robin,1,4.0,42.5,0.0,19,0
24,round_robin,2,-0.5,42.0,0.0,19,0
25,round_robin,0,1.5,43.5,0.0,20,0
26,round_robin,1,-1.0,42.5,0.0,20,0
27,round_robin,2,3.5,46.0,0.0,22,0
28,round_robin,0,1.5,47.5,0.0,23,0
29,round_robin,1,-1.0,46.5,0.0,23,0
30,round_robin,2,1.0,47.5,0.0,24,0
31,round_robin,0,1.0,48.5,0.0,25,0
32,round_robin,1,3.5,52.0,0.0,27,0
33,round_robin,2,-1.0,51.0,0.0,27,0
34,round_robin,0,1.0,52.0,0.0,28,0
35,round_robin,1,-4.0,48.0,0.029,29,1
36,round_robin,2,1.5,49.5,0.028,30,1
37,round_robin,0,6.0,55.5,0.027,33,1
38,round_robin,1,1.5,57.0,0.026,34,1
39,round_robin,2,2.0,59.0,0.026,35,1
40,round_robin,0,2.0,61.0,0.025,36,1
41,round_robin,1,-0.5,60.5,0.024,36,1
42,round_robin,2,2.0,62.5,0.024,37,1
43,round_robin,0,2.0,64.5,0.023,38,1
44,round_robin,1,-0.5,64.0,0.023,38,1
45,round_robin,2,-1.0,63.0,0.022,38,1
46,round_robin,0,3.5,66.5,0.022,40,1
47,round_robin,1,1.5,68.0,0.021,41,1
48,round_robin,2,-1.0,67.0,0.021,41,1
49,round_robin,0,1.0,68.0,0.02,42,1
50,round_robin,1,1.0,69.0,0.02,43,1
51,round_robin,2,6.0,75.0,0.02,46,1
52,round_robin,0,2.0,77.0,0.019,47,1
53,round_robin,1,-0.5,76.5,0.019,47,1
54,round_robin,2,-1.0,75.5,0.019,47,1
55,round_robin,0,1.0,76.5,0.018,48,1
56,round_robin,1,1.0,77.5,0.018,49,1
57,round_robin,2,1.0,78.5,0.018,50,1
58,round_robin,0,1.0,79.5,0.017,51,1
59,round_robin,1,3.5,83.0,0.017,53,1
60,round_robin,2,1.5,84.5,0.017,54,1
61,round_robin,0,1.5,86.0,0.016,55,1
62,round_robin,1,-1.0,85.0,0.016,55,1
63,round_robin,2,5.5,90.5,0.016,58,1
64,round_robin,0,4.0,94.5,0.016,60,1
65,round_robin,1,2.5,97.0,0.015,61,1
66,round_robin,2,0.0,97.0,0.015,61,1
67,round_robin,0,2.0,99.0,0.015,62,1
68,round_robin,1,-0.5,98.5,0.015,62,1
69,round_robin,2,6.0,104.5,0.014,65,1
70,round_robin,0,0.0,104.5,0.014,65,1
71,round_robin,1,-0.5,104.0,0.014,65,1
72,round_robin,2,6.0,110.0,0.014,68,1
73,round_robin,0,0.0,110.0,0.014,68,1
74,round_robin,1,-0.5,109.5,0.014,68,1
75,round_robin,2,4.0,113.5,0.013,70,1
76,round_robin,0,2.0,115.5,0.013,71,1
77,round_robin,1,2.0,117.5,0.013,72,1
78,round_robin,2,2.0,119.5,0.013,73,1
79,round_robin,0,1.5,121.0,0.013,74,1
80,round_robin,1,2.0,123.0,0.013,75,1
81,round_robin,2,2.0,125.0,0.012,76,1
82,round_robin,0,-0.5,124.5,0.012,76,1
83,round_robin,1,1.5,126.0,0.012,77,1
84,round_robin,2,1.5,127.5,0.012,78,1
85,round_robin,0,1.5,129.0,0.012,79,1
86,round_robin,1,4.0,133.0,0.012,81,1
87,round_robin,2,1.5,134.5,0.011,82,1
88,round_robin,0,1.5,136.0,0.011,83,1
89,round_robin,1,-0.5,135.5,0.011,83,1
90,round_robin,2,1.5,137.0,0.011,84,1
91,round_robin,0,1.5,138.5,0.011,85,1
92,round_robin,1,4.0,142.5,0.011,87,1
93,round_robin,2,-0.5,142.0,0.011,87,1
94,round_robin,0,4.0,146.0,0.011,89,1
95,round_robin,1,2.0,148.0,0.011,90,1
96,round_robin,2,1.5,149.5,0.01,91,1
97,round_robin,0,2.0,151.5,0.01,92,1
98,round_robin,1,2.0,153.5,0.01,93,1
99,round_robin,2,-0.5,153.0,0.01,93,1
100,round_robin,0,-1.0,152.0,0.01,93,1
